leg,file,dataset,subset,backend,method,budget,passes,questions_expected,questions_run,rows,complete,accuracy_pct,errors,reasoning,temperature
crossview_meva1033_subset_internvl_adi_pirule96,legs/crossview_meva1033_subset_internvl_adi_pirule96.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_viclip_auto,"96 frames total, 8-s clips, global top-12, floor 0 (PI rule)",4,1033,1033,4132,True,44.14,0,off,0.1
crossview_meva1033_subset_internvl_adi_sgglobal96,legs/crossview_meva1033_subset_internvl_adi_sgglobal96.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_siglip,"96 frames total, seg_select global, seg_floor 1, segments_keep 4",4,1033,1033,4132,True,47.14,0,off,0.1
crossview_meva1033_subset_internvl_adi_sgperclip96,legs/crossview_meva1033_subset_internvl_adi_sgperclip96.jsonl.gz,CrossView-MEVA,crossview_meva1033_subset.json,InternVL3-8B,segment_select_siglip,"96 frames total, seg_select per_clip, segments_keep 4",4,1033,1033,4132,True,48.23,0,off,0.1
